match_week,attendance,home_position,away_position,home_performance,away_performance,home_avg_scored,away_avg_scored,home_avg_conceded,away_avg_conceded,home_performance_last_five,away_performance_last_five,home_performance_as_home,away_performance_as_away,home_avg_scored_as_home,away_avg_scored_as_away,home_avg_conceded_as_home,away_avg_conceded_as_away,home_posse,away_posse,home_shotsON,away_shotsON,home_shots,away_shots,home_passes,away_passes,home_corners,away_corners,home_offsides,away_offsides,home_yellows,away_yellows,home_reds,away_reds,home_fouls,away_fouls,Form_Home_Goals_Scored,Form_Home_Goals_Conceded,Form_Home_Shots,Form_Home_Possession,Form_Home_Points,Form_Away_Goals_Scored,Form_Away_Goals_Conceded,Form_Away_Shots,Form_Away_Possession,Form_Away_Points,HomeTeamResult
2,22657,4.0,10.0,1.0,0.33,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,53.5,46.5,6.0,4.0,20.0,12.0,472.0,394.0,7.0,8.0,3.0,1.0,2.0,2.0,0.0,0.0,7.0,11.0,0.0,0.0,15.0,48.0,3.0,0.0,0.0,15.0,54.1,1.0,W
2,24273,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43.5,56.5,3.0,7.0,7.0,18.0,349.0,480.0,7.0,8.0,2.0,4.0,2.0,0.0,0.0,0.0,19.0,17.0,0.0,0.0,11.0,62.2,3.0,0.0,0.0,8.0,37.8,3.0,L
2,75498,4.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,53.0,47.0,14.0,9.0,28.0,21.0,442.0,412.0,11.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,13.0,9.0,0.0,0.0,11.0,62.2,3.0,0.0,0.0,0.0,0.0,0.0,W
3,30776,4.0,3.0,0.67,1.0,1.5,2.0,0.5,0.5,0.0,0.0,1.0,1.0,3,2,1,1,45.9,54.1,3.0,2.0,18.0,7.0,346.0,412.0,11.0,8.0,2.0,1.0,1.0,3.0,0.0,0.0,11.0,11.0,0.0,0.0,8.5,48.75,2.0,0.0,0.0,17.5,50.75,3.0,D
3,17225,12.0,10.0,0.33,0.5,0.5,0.5,0.5,2.0,0.0,0.0,0.33,1.0,1,1,1,0,55.2,44.8,5.0,4.0,12.0,19.0,428.0,349.0,8.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,9.0,36.9,1.0,0.0,0.0,6.0,43.0,1.5,W
3,22826,19.0,20.0,0.0,0.0,1.0,0.0,2.5,1.5,0.0,0.0,0.0,0.0,1,0,2,2,41.2,58.8,7.0,3.0,21.0,11.0,252.0,372.0,5.0,4.0,3.0,4.0,5.0,1.0,0.0,0.0,17.0,15.0,0.0,0.0,14.5,50.2,0.0,0.0,0.0,14.0,51.8,0.0,L
3,41765,6.0,11.0,0.67,0.33,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.33,2,1,1,1,69.6,30.4,7.0,6.0,18.0,11.0,522.0,216.0,8.0,6.0,2.0,6.0,2.0,2.0,0.0,1.0,17.0,15.0,0.0,0.0,17.5,63.95,2.0,0.0,0.0,10.5,54.55,1.0,W
3,19938,17.0,14.0,0.17,0.17,0.0,0.5,2.0,1.0,0.0,0.0,0.33,0.33,0,1,0,1,62.0,38.0,3.0,2.0,18.0,12.0,506.0,295.0,7.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,10.0,0.0,0.0,12.0,63.1,0.5,0.0,0.0,14.5,44.95,0.5,D
3,44725,4.0,8.0,0.67,0.5,1.5,3.0,0.5,1.5,0.0,0.0,0.33,1.0,1,4,1,0,58.8,41.2,6.0,3.0,20.0,10.0,492.0,335.0,12.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,5.0,8.0,0.0,0.0,12.5,61.150000000000006,2.0,0.0,0.0,9.0,52.85,1.5,W
3,42684,7.0,15.0,0.67,0.17,0.5,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0,0,0,2,46.4,53.6,6.0,6.0,12.0,18.0,385.0,442.0,6.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,19.0,9.0,0.0,0.0,10.5,43.9,2.0,0.0,0.0,13.5,50.3,0.5,W
3,36150,9.0,1.0,0.5,1.0,1.0,3.5,1.5,1.0,0.0,0.0,1.0,1.0,2,3,0,2,41.5,58.5,5.0,9.0,21.0,22.0,400.0,594.0,9.0,5.0,1.0,3.0,2.0,4.0,0.0,0.0,14.0,11.0,0.0,0.0,21.0,47.0,0.0,0.0,0.0,13.0,47.15,3.0,L
3,22909,18.0,12.0,0.0,0.33,1.0,0.5,2.0,0.5,0.0,0.0,0.0,0.33,1,1,2,1,58.9,41.1,4.0,1.0,16.0,5.0,423.0,289.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,7.0,36.05,0.0,0.0,0.0,13.0,45.45,1.0,L
3,75448,2.0,15.0,1.0,0.17,2.5,0.0,0.5,1.0,0.0,0.0,1.0,0.33,3,0,0,0,56.3,43.7,14.0,8.0,25.0,20.0,533.0,408.0,3.0,5.0,7.0,0.0,2.0,2.0,0.0,1.0,9.0,8.0,0.0,0.0,19.5,57.6,3.0,0.0,0.0,9.5,50.0,0.5,W
4,60087,18.0,16.0,0.11,0.22,0.67,0.0,3.33,1.33,0.0,0.0,0.0,0.0,0,0,2,4,56.5,43.5,4.0,2.0,19.0,12.0,504.0,379.0,4.0,5.0,1.0,2.0,3.0,2.0,0.0,0.0,10.0,8.0,0.0,0.0,13.0,47.9,0.3333333333333333,0.0,0.0,14.0,62.73333333333333,0.6666666666666666,W
4,32736,11.0,7.0,0.33,0.56,0.33,1.0,1.0,0.33,0.0,0.0,0.0,0.33,0,0,1,0,54.2,45.8,8.0,3.0,21.0,9.0,393.0,342.0,8.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,13.0,12.0,0.0,0.0,12.5,55.3,1.5,0.0,0.0,11.666666666666666,47.800000000000004,1.6666666666666667,D
4,46509,2.0,7.0,1.0,0.56,4.0,1.0,1.0,0.33,0.0,0.0,1.0,0.33,4,0,0,0,57.9,42.1,7.0,3.0,26.0,11.0,562.0,398.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,16.0,50.93333333333334,3.0,0.0,0.0,10.0,43.0,1.6666666666666667,W
4,27592,9.0,3.0,0.56,0.78,0.67,2.0,0.33,0.67,0.0,0.0,0.33,1.0,0,2,0,0,27.4,72.6,1.0,7.0,3.0,24.0,209.0,548.0,2.0,12.0,5.0,1.0,0.0,1.0,0.0,0.0,13.0,14.0,0.0,0.0,10.333333333333334,44.0,1.6666666666666667,0.0,0.0,15.0,60.36666666666667,2.3333333333333335,W
4,36699,14.0,4.0,0.22,0.78,0.33,1.67,0.67,0.67,0.0,0.0,0.0,0.33,0,0,1,0,40.1,59.9,3.0,5.0,13.0,19.0,362.0,558.0,4.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,13.666666666666666,42.63333333333333,0.6666666666666666,0.0,0.0,17.666666666666668,65.83333333333333,2.3333333333333335,L
4,25274,5.0,12.0,0.78,0.33,1.33,1.0,0.33,2.67,0.0,0.0,1.0,0.0,2,0,0,3,43.4,56.6,6.0,5.0,10.0,16.0,394.0,507.0,4.0,10.0,2.0,1.0,3.0,2.0,0.0,0.0,6.0,12.0,0.0,0.0,14.0,51.86666666666667,2.3333333333333335,0.0,0.0,21.0,44.25,0.0,L
